image_path,tag
valorant_images\valorant_acts Valorant_0.jpg,acts
valorant_images\valorant_acts Valorant_1.jpg,acts
valorant_images\valorant_acts Valorant_10.jpg,acts
valorant_images\valorant_acts Valorant_11.jpg,acts
valorant_images\valorant_acts Valorant_12.jpg,acts
valorant_images\valorant_acts Valorant_13.jpg,acts
valorant_images\valorant_acts Valorant_14.jpg,acts
valorant_images\valorant_acts Valorant_15.jpg,acts
valorant_images\valorant_acts Valorant_16.jpg,acts
valorant_images\valorant_acts Valorant_17.jpg,acts
valorant_images\valorant_acts Valorant_18.jpg,acts
valorant_images\valorant_acts Valorant_19.jpg,acts
valorant_images\valorant_acts Valorant_2.jpg,acts
valorant_images\valorant_acts Valorant_20.jpg,acts
valorant_images\valorant_acts Valorant_21.jpg,acts
valorant_images\valorant_acts Valorant_22.jpg,acts
valorant_images\valorant_acts Valorant_23.jpg,acts
valorant_images\valorant_acts Valorant_24.jpg,acts
valorant_images\valorant_acts Valorant_25.jpg,acts
valorant_images\valorant_acts Valorant_26.jpg,acts
valorant_images\valorant_acts Valorant_27.jpg,acts
valorant_images\valorant_acts Valorant_28.jpg,acts
valorant_images\valorant_acts Valorant_29.jpg,acts
valorant_images\valorant_acts Valorant_3.jpg,acts
valorant_images\valorant_acts Valorant_30.jpg,acts
valorant_images\valorant_acts Valorant_31.jpg,acts
valorant_images\valorant_acts Valorant_32.jpg,acts
valorant_images\valorant_acts Valorant_33.jpg,acts
valorant_images\valorant_acts Valorant_34.jpg,acts
valorant_images\valorant_acts Valorant_35.jpg,acts
valorant_images\valorant_acts Valorant_36.jpg,acts
valorant_images\valorant_acts Valorant_37.jpg,acts
valorant_images\valorant_acts Valorant_38.jpg,acts
valorant_images\valorant_acts Valorant_39.jpg,acts
valorant_images\valorant_acts Valorant_4.jpg,acts
valorant_images\valorant_acts Valorant_40.jpg,acts
valorant_images\valorant_acts Valorant_41.jpg,acts
valorant_images\valorant_acts Valorant_42.jpg,acts
valorant_images\valorant_acts Valorant_43.jpg,acts
valorant_images\valorant_acts Valorant_44.jpg,acts
valorant_images\valorant_acts Valorant_45.jpg,acts
valorant_images\valorant_acts Valorant_46.jpg,acts
valorant_images\valorant_acts Valorant_47.jpg,acts
valorant_images\valorant_acts Valorant_48.jpg,acts
valorant_images\valorant_acts Valorant_49.jpg,acts
valorant_images\valorant_acts Valorant_5.jpg,acts
valorant_images\valorant_acts Valorant_6.jpg,acts
valorant_images\valorant_acts Valorant_7.jpg,acts
